geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
PARP3	1610.7	1530.5	1247.5	1129.3	1097.8	1050.8	1243.5	1567.9	1257.8	1504.8
PARP4	2082.2	4085.8	4086.7	3698.5	4525.4	2066.8	2341.6	4028.1	4518.7	3160.8
PARP6	1809.4	1750.3	1589.1	1629.36666666667	1614.03333333333	1866.86666666667	2508.2	1403.6	1949.8	1365.96666666667
PARP8	816.95	947.25	676.1	442.2	791.05	929.85	987	567.75	543.6	605.2
PARP9	1446	929.1	3024.15	2790.45	1664.55	1034.35	709.95	1995.15	784.15	826.15
PARPBP	199.333333333333	246.733333333333	211.866666666667	200.033333333333	357.2	118.366666666667	140.333333333333	258.666666666667	241.2	205.666666666667
PARS2	460.2	515.5	405.1	485.7	439.2	537	262.8	644.8	485.5	519.7
PART1	115.433333333333	98.3333333333333	99.9	221.633333333333	107	165.933333333333	219.866666666667	149.1	107.566666666667	44.4666666666667
PARVA	3342.37142857143	4033.11428571429	3597.98571428571	3082.18571428571	3637.42857142857	3250.7	2739.42857142857	3734.67142857143	3169.9	3965.32857142857
PARVB	1171.56666666667	1978.28333333333	608.633333333333	786.033333333333	623.116666666667	2056.88333333333	1742.95	1956.9	2311.05	1837.3
PARVG	155.533333333333	253.9	46.6666666666667	44.6	22.2	141.133333333333	93.0333333333333	117.233333333333	180.966666666667	65.6
PASD1	79.8	135.1	52.7	30.4	10.5	124.3	74	76.9	187.5	123
PASK	123.9	114	122.366666666667	74.5333333333333	82.9	80.1666666666667	72.3333333333333	60.8333333333333	98.1666666666667	92.3666666666667
PATE1	14.45	13.2	42.2	20.55	56.85	145.3	235.45	10.7	60.75	56.9
PATE2	76.7	128.8	193.6	67.7	156.3	124.2	233	105.2	174	134
PATL1	968.54	1632.32	1057.8	1049.24	837.2	732.98	979.96	742.22	1246.22	801.34
PATL2	90.1	117.2	110	130.1	126.5	76.4	552.6	22.6	137.4	25.2
PATZ1	317.966666666667	384.483333333333	204.7	279.566666666667	333.516666666667	401.566666666667	552.466666666667	350.4	458.766666666667	409.016666666667
PAWR	3530.17142857143	6035.81428571429	3262.37142857143	4558.74285714286	4021.52857142857	3415.17142857143	3357.85714285714	4170.34285714286	2515.18571428571	5298.85714285714
PAX1	73.5666666666667	34.3	70.6333333333333	36	64.7	101.066666666667	548.333333333333	60.7666666666667	88.2	91.1666666666667
PAX2	98.5	162.05	107.85	102.75	96.8	200.9	233.05	172.65	151.2	213.35
PAX3	23.15	55.425	25.575	23	64.575	46.25	156.1	59.35	91.075	53.075
PAX4	37.8	31.7	56.4	56.5	49.45	89.2	186.75	119.1	89.35	98.1
PAX5	13.55	54.9	19.2	13.55	53.25	63.55	185.95	17.35	36.3	38.2
PAX6	27.7	37.25	86.7	95.3	29.25	161.4	248.1	42.25	50.5	48.2
PAX7	69.5	30.5	40.6	111.85	54.7	127.5	211.05	51.3	142.55	67.6
PAX8	202.9	287.025	287.025	238.3875	366.325	244.275	616.4	228.15	374.1	198.6625
PAX8-AS1	185.65	1123.4	1163.25	887.05	3096.95	436.1	640.75	431.85	671.55	126.25
PAX9	68.4	51.15	87.45	76.2	96.7	143.45	121.65	44.95	93.7	118.05
PAXBP1	662.633333333333	718.9	544.233333333333	792.666666666667	842.066666666667	868.966666666667	1087	718.133333333333	882.133333333333	654.766666666667
PAXBP1-AS1	54.1	78.6	27.6	76.15	40.8	25.55	128.4	98.55	39.15	150.7
PAXIP1	1207.6	1212.2	759.1	1044	1526.4	1005	1084.5	603.1	1034.4	728.7
PAXIP1-AS1	735.6	359.2	500.2	645.2	426.7	433.9	657.3	387.7	485.4	272.9
PAXIP1OS	217.55	246.05	250.65	312.25	241.5	234.75	382.3	253.3	210.95	184.35
PBDC1	1906.95	2429.3	2263.95	1808.6	2753.65	1897.8	1089.85	1844.95	1241.35	1708.65
PBK	2426.8	2780.7	2069.3	1360.6	3493.8	442.6	491.3	1760.5	1670.3	1319.5
