geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
CARKD	2769.4	3188.7	3235.2	3382.6	3330.8	4242.4	2946.4	2306.2	2817.6	3951.1	2310.2	3280.8	3068.2	3600.8
CARM1	2703.5	3526.8	1371.7	1493	2266.1	1371.9	1520	1819.8	1652.8	3711	3138.5	3327.5	2807.2	2910.4
CARNS1	193.3	168	201	42.2	132.7	143.8	50.5	35.6	32.4	374	1295.4	190.9	413.6	101.7
CARS	5415.025	7433.3	4429.1	4783.475	4042.75	6753.525	5594.35	7339.85	5770.025	7048.7	5802.6	4578.725	5237.175	6530.175
CARS-AS1	19.2	41.2	163.8	132.7	174.8	50.4	115.4	201.6	22.6	38.5	102.6	13.3	104.3	40.1
CARS2	869.74	605.94	424.16	640.6	793.28	498.24	578.86	779.78	478.68	437.96	824.12	725.42	724.92	557.3
CARTPT	132.3	145.3	24.6	146.3	48.6	141.5	9.5	124.6	73.7	169.9	473.4	17.7	140.9	95.1
CASC1	33.9	60.9	15.1	28.7	14.2	63.6	98.7	49.9	32.9	7.1	224.8	86.6	4.8	50.4
CASC10	158.133333333333	125.6	94.1333333333333	167.433333333333	208.9	179	164.333333333333	188.2	239.833333333333	143.066666666667	528.5	87.8333333333333	174.666666666667	70.4
CASC11	69.5	122	76.2	111.2	19.9	78.1	12.7	15	35.2	23.1	263.7	93.2	217.4	24.1
CASC14	23	57	98.8	7.6	16.6	152.3	80.8	19.4	20.7	58.4	244	86.1	74.2	28.7
CASC15	85.475	66.7	86.925	115.45	102.55	310.775	109.15	360.3	90.775	264.55	315.225	109.875	351.875	143.125
CASC16	13.9	78.3	79.4	53.7	100.9	75.6	149.8	95.4	61.5	85.4	146.7	155.8	62.8	17
CASC17	123.4	175	133.8	168.4	151.6	189.3	104.2	212.7	118.2	203.2	333.5	252.1	185.4	156.5
CASC18	7.4	4.8	12	10.1	61.2	17.3	67.3	53.9	60	23.3	58.1	34.1	12.1	128.4
CASC2	63.3	53.66	40.44	51.16	75.9	79	75.8	103.32	70.98	117.8	152.06	48.94	13.04	76.32
CASC22	6.8	40.5	17.4	58.1	62.7	36.1	4.3	3.9	71.2	26.4	179.8	62.1	58.9	100.1
